textId,label_type,start_pos,end_pos
0,解剖部位,32,33
0,解剖部位,39,40
0,解剖部位,47,48
0,解剖部位,53,54
0,解剖部位,57,58
0,解剖部位,74,75
0,手术,96,111
0,疾病和诊断,117,120
0,解剖部位,125,129
0,疾病和诊断,134,136
0,疾病和诊断,137,141
0,疾病和诊断,142,148
0,解剖部位,150,151
0,疾病和诊断,150,154
0,手术,184,190
0,疾病和诊断,291,300
0,疾病和诊断,382,385
0,药物,422,425
0,药物,429,431
1,解剖部位,40,41
1,解剖部位,43,44
1,疾病和诊断,68,73
1,影像检查,88,91
1,解剖部位,92,94
1,疾病和诊断,100,102
1,解剖部位,105,113
1,解剖部位,132,133
1,解剖部位,135,136
1,解剖部位,148,149
1,解剖部位,151,152
2,疾病和诊断,15,20
2,手术,33,40
2,疾病和诊断,49,52
2,疾病和诊断,58,65
2,药物,74,75
2,药物,76,78
2,疾病和诊断,112,115
2,疾病和诊断,145,154
2,手术,182,183
2,手术,183,186
2,手术,213,216
2,影像检查,228,240
2,手术,239,243
2,解剖部位,279,280
2,解剖部位,283,284
3,疾病和诊断,44,53
3,疾病和诊断,59,64
3,手术,83,85
3,解剖部位,95,101
3,解剖部位,108,110
3,疾病和诊断,120,125
3,疾病和诊断,128,133
3,疾病和诊断,133,138
3,药物,167,171
3,药物,173,176
3,药物,187,191
3,药物,192,195
3,药物,208,211
3,药物,212,215
3,药物,318,322
3,药物,322,324
3,药物,365,368
4,解剖部位,17,18
4,解剖部位,30,32
4,解剖部位,57,59
4,解剖部位,97,98
4,疾病和诊断,97,103
4,解剖部位,107,109
4,解剖部位,110,114
4,疾病和诊断,124,131
4,影像检查,131,133
4,解剖部位,137,141
4,手术,203,216
4,手术,249,253
4,解剖部位,265,267
4,手术,269,274
4,解剖部位,277,279
4,解剖部位,280,282
4,解剖部位,283,288
4,解剖部位,289,291
4,解剖部位,305,306
4,解剖部位,310,314
5,手术,7,9
5,手术,12,15
5,手术,16,23
5,影像检查,25,28
5,解剖部位,29,32
5,解剖部位,83,85
5,疾病和诊断,163,171
5,解剖部位,184,186
5,解剖部位,197,198
5,解剖部位,200,201
6,疾病和诊断,39,47
6,疾病和诊断,55,59
6,疾病和诊断,60,72
6,解剖部位,97,98
6,药物,102,105
6,药物,161,163
6,药物,172,174
6,解剖部位,206,211
6,解剖部位,217,220
6,疾病和诊断,219,224
6,药物,241,244
6,药物,254,256
6,药物,263,265
6,解剖部位,319,321
6,解剖部位,322,324
6,解剖部位,327,328
7,疾病和诊断,14,17
7,手术,31,46
7,解剖部位,64,65
7,解剖部位,71,73
7,解剖部位,76,77
7,解剖部位,79,80
7,药物,151,152
7,解剖部位,198,199
7,疾病和诊断,224,231
7,疾病和诊断,238,254
8,疾病和诊断,33,35
8,疾病和诊断,55,57
8,疾病和诊断,70,75
8,解剖部位,75,78
8,解剖部位,80,81
8,疾病和诊断,83,86
8,解剖部位,95,99
8,解剖部位,112,114
8,手术,146,154
8,疾病和诊断,168,175
8,疾病和诊断,183,194
8,疾病和诊断,199,204
8,解剖部位,211,212
8,解剖部位,225,227
8,解剖部位,232,233
8,解剖部位,238,242
8,解剖部位,246,248
8,解剖部位,274,276
8,解剖部位,277,281
8,解剖部位,282,284
8,解剖部位,285,286
8,疾病和诊断,367,368
8,疾病和诊断,379,383
8,实验室检验,414,417
9,疾病和诊断,6,8
9,手术,12,32
9,疾病和诊断,46,64
9,解剖部位,110,111
9,疾病和诊断,110,112
9,解剖部位,126,127
9,解剖部位,129,131
9,疾病和诊断,144,147
10,解剖部位,17,20
10,解剖部位,21,23
10,解剖部位,71,72
10,影像检查,128,133
10,解剖部位,134,142
10,解剖部位,143,145
10,解剖部位,145,147
10,解剖部位,157,161
10,疾病和诊断,166,168
10,疾病和诊断,193,197
10,疾病和诊断,204,209
10,疾病和诊断,223,226
11,疾病和诊断,12,22
11,手术,47,56
11,疾病和诊断,63,73
11,解剖部位,86,87
11,药物,121,124
11,影像检查,149,155
11,解剖部位,154,156
11,影像检查,200,201
12,疾病和诊断,32,40
12,手术,57,67
12,疾病和诊断,80,85
12,解剖部位,89,90
12,手术,224,243
12,手术,279,287
12,疾病和诊断,300,302
12,疾病和诊断,305,307
12,解剖部位,311,312
12,疾病和诊断,311,313
12,解剖部位,356,357
12,解剖部位,360,361
13,疾病和诊断,41,46
13,解剖部位,154,156
13,手术,199,204
13,疾病和诊断,290,292
13,疾病和诊断,293,297
13,解剖部位,327,329
13,疾病和诊断,397,398
13,疾病和诊断,400,403
14,手术,27,36
14,疾病和诊断,52,61
14,解剖部位,104,109
14,药物,164,165
14,药物,192,193
14,疾病和诊断,227,232
14,疾病和诊断,288,292
14,药物,320,322
14,疾病和诊断,343,346
15,解剖部位,16,19
15,解剖部位,70,71
15,解剖部位,73,74
15,疾病和诊断,124,126
15,解剖部位,145,146
15,疾病和诊断,145,148
16,解剖部位,7,10
16,解剖部位,15,18
16,解剖部位,34,35
16,解剖部位,53,54
16,解剖部位,61,62
16,解剖部位,64,65
16,解剖部位,68,69
16,解剖部位,71,72
16,药物,95,97
16,解剖部位,129,131
16,手术,141,145
16,手术,147,158
16,疾病和诊断,162,166
16,手术,170,178
16,疾病和诊断,192,194
17,疾病和诊断,11,14
17,手术,31,40
17,解剖部位,63,64
17,解剖部位,79,80
17,解剖部位,89,90
17,解剖部位,96,97
17,疾病和诊断,113,116
17,疾病和诊断,121,128
17,疾病和诊断,162,163
17,解剖部位,175,176
17,手术,176,178
17,手术,179,184
17,手术,243,256
17,疾病和诊断,328,333
18,解剖部位,41,42
18,解剖部位,45,46
18,解剖部位,52,53
18,解剖部位,85,86
18,疾病和诊断,158,165
18,疾病和诊断,166,172
18,解剖部位,201,204
18,手术,211,223
18,疾病和诊断,230,234
19,手术,20,23
19,疾病和诊断,49,74
19,解剖部位,94,96
19,疾病和诊断,98,121
19,手术,139,145
19,疾病和诊断,173,189
19,疾病和诊断,194,207
20,解剖部位,18,20
20,疾病和诊断,27,32
20,手术,50,58
20,解剖部位,71,73
20,手术,95,103
20,疾病和诊断,120,125
20,解剖部位,144,145
20,疾病和诊断,144,148
20,手术,147,160
20,解剖部位,195,196
20,解剖部位,198,199
20,解剖部位,226,227
20,解剖部位,229,230
20,疾病和诊断,251,259
21,解剖部位,14,15
21,解剖部位,17,18
21,解剖部位,23,25
21,解剖部位,46,48
21,解剖部位,63,65
21,解剖部位,88,89
21,解剖部位,91,92
21,解剖部位,94,95
21,疾病和诊断,114,120
21,解剖部位,123,126
21,疾病和诊断,125,129
21,解剖部位,133,135
21,疾病和诊断,209,216
21,解剖部位,239,240
21,解剖部位,248,250
21,解剖部位,317,318
21,解剖部位,350,351
21,疾病和诊断,392,399
21,疾病和诊断,399,402
22,疾病和诊断,9,22
22,手术,29,66
22,解剖部位,78,79
22,疾病和诊断,84,95
22,解剖部位,98,102
22,解剖部位,121,122
22,解剖部位,128,129
22,解剖部位,166,167
22,解剖部位,169,170
22,疾病和诊断,208,212
23,疾病和诊断,11,15
23,手术,30,45
23,解剖部位,77,79
23,疾病和诊断,92,98
23,疾病和诊断,206,211
24,解剖部位,21,22
24,解剖部位,24,25
24,解剖部位,46,47
24,解剖部位,49,50
24,解剖部位,66,67
24,疾病和诊断,84,87
24,解剖部位,91,92
24,药物,117,119
24,解剖部位,122,123
24,疾病和诊断,145,153
24,疾病和诊断,155,168
24,疾病和诊断,171,180
24,解剖部位,221,223
24,解剖部位,226,228
24,解剖部位,244,245
24,解剖部位,271,272
24,疾病和诊断,303,306
25,解剖部位,18,20
25,解剖部位,24,25
25,解剖部位,51,54
25,解剖部位,67,68
25,解剖部位,75,76
25,解剖部位,78,79
25,解剖部位,133,135
25,疾病和诊断,134,139
25,疾病和诊断,163,169
26,解剖部位,24,26
26,解剖部位,68,70
26,解剖部位,72,73
26,解剖部位,99,100
26,解剖部位,116,118
26,疾病和诊断,162,171
26,疾病和诊断,180,186
26,手术,193,201
27,解剖部位,14,16
27,解剖部位,31,33
27,疾病和诊断,127,135
27,手术,139,145
28,手术,96,113
28,疾病和诊断,122,127
28,药物,133,135
28,药物,136,139
28,解剖部位,181,182
28,疾病和诊断,211,215
28,解剖部位,238,240
28,解剖部位,262,263
29,疾病和诊断,7,13
29,手术,17,23
29,疾病和诊断,30,34
29,疾病和诊断,64,67
29,解剖部位,117,118
29,疾病和诊断,117,119
29,解剖部位,120,121
29,解剖部位,127,129
29,解剖部位,171,172
29,解剖部位,193,194
29,解剖部位,196,197
29,解剖部位,200,201
29,解剖部位,203,204
29,解剖部位,215,217
30,解剖部位,10,13
30,疾病和诊断,32,36
30,解剖部位,55,56
30,解剖部位,72,73
30,解剖部位,73,76
30,疾病和诊断,110,117
30,疾病和诊断,138,141
30,解剖部位,147,148
30,手术,147,150
30,手术,153,159
30,解剖部位,174,175
30,疾病和诊断,174,179
30,解剖部位,193,194
30,解剖部位,203,204
30,解剖部位,206,207
30,解剖部位,210,211
30,解剖部位,213,214
30,疾病和诊断,245,252
31,手术,43,47
31,疾病和诊断,86,92
31,疾病和诊断,141,150
31,解剖部位,192,193
31,解剖部位,196,197
32,解剖部位,26,28
32,疾病和诊断,39,43
32,解剖部位,93,94
32,解剖部位,97,98
32,解剖部位,100,101
32,解剖部位,104,105
32,解剖部位,107,108
32,疾病和诊断,138,155
32,解剖部位,161,165
32,解剖部位,165,167
32,手术,191,197
32,解剖部位,236,237
32,解剖部位,238,240
32,药物,308,311
32,疾病和诊断,343,354
32,疾病和诊断,355,361
32,疾病和诊断,366,368
32,疾病和诊断,369,372
33,手术,16,21
33,疾病和诊断,26,30
33,药物,40,44
33,药物,46,49
33,解剖部位,87,90
33,影像检查,100,105
33,手术,104,107
33,疾病和诊断,120,124
33,药物,128,131
33,手术,159,167
33,疾病和诊断,178,185
34,解剖部位,25,27
34,解剖部位,120,122
34,解剖部位,141,143
34,影像检查,157,160
34,解剖部位,162,169
34,疾病和诊断,178,181
34,解剖部位,185,196
34,手术,210,222
34,疾病和诊断,238,241
34,疾病和诊断,246,257
34,解剖部位,264,266
34,疾病和诊断,307,323
34,解剖部位,398,400
35,解剖部位,10,11
35,影像检查,33,42
35,疾病和诊断,43,50
35,疾病和诊断,52,57
35,解剖部位,58,60
35,疾病和诊断,77,80
35,手术,106,115
35,解剖部位,137,138
35,解剖部位,165,166
35,解剖部位,168,169
35,解剖部位,190,191
35,疾病和诊断,241,248
36,解剖部位,14,16
36,疾病和诊断,15,18
36,解剖部位,46,47
36,解剖部位,49,50
36,解剖部位,74,75
36,疾病和诊断,74,77
36,解剖部位,76,80
36,疾病和诊断,94,99
36,解剖部位,120,121
36,解剖部位,123,124
36,解剖部位,136,137
36,解剖部位,139,140
37,疾病和诊断,6,11
37,手术,15,21
37,疾病和诊断,46,57
37,药物,69,73
37,解剖部位,125,126
37,解剖部位,145,146
37,疾病和诊断,178,183
38,手术,9,24
38,疾病和诊断,39,53
38,解剖部位,57,58
38,解剖部位,74,76
38,解剖部位,83,89
38,解剖部位,139,140
38,解剖部位,142,143
38,解剖部位,146,148
38,解剖部位,149,151
38,疾病和诊断,178,184
38,解剖部位,214,215
39,解剖部位,10,11
39,解剖部位,16,17
39,疾病和诊断,24,28
39,解剖部位,46,47
39,解剖部位,57,58
39,疾病和诊断,112,115
39,手术,127,135
39,解剖部位,142,144
39,解剖部位,151,153
39,解剖部位,163,167
39,解剖部位,181,182
39,解剖部位,182,184
39,疾病和诊断,201,213
